match_sheet_id,stadium_name,stadium_url,association,season
2577953,Vicarage Road,https://www.transfermarkt.co.uk/stadion/stadion/verein/1010/saison_id/2015,1010,2015
2577973,Swansea.com Stadium,https://www.transfermarkt.co.uk/stadion/stadion/verein/2288/saison_id/2015,2288,2015
2617965,MKM Stadium,https://www.transfermarkt.co.uk/stadion/stadion/verein/3008/saison_id/2015,3008,2015
2577976,St Mary's Stadium,https://www.transfermarkt.co.uk/stadion/stadion/verein/180/saison_id/2015,180,2015
2578001,Swansea.com Stadium,https://www.transfermarkt.co.uk/stadion/stadion/verein/2288/saison_id/2015,2288,2015
2578007,Swansea.com Stadium,https://www.transfermarkt.co.uk/stadion/stadion/verein/2288/saison_id/2015,2288,2015
2578004,Villa Park,https://www.transfermarkt.co.uk/stadion/stadion/verein/405/saison_id/2015,405,2015
2578013,Swansea.com Stadium,https://www.transfermarkt.co.uk/stadion/stadion/verein/2288/saison_id/2015,2288,2015
2578034,Carrow Road,https://www.transfermarkt.co.uk/stadion/stadion/verein/1123/saison_id/2015,1123,2015
2578028,Swansea.com Stadium,https://www.transfermarkt.co.uk/stadion/stadion/verein/2288/saison_id/2015,2288,2015
2578055,Anfield,https://www.transfermarkt.co.uk/stadion/stadion/verein/31/saison_id/2015,31,2015
2578054,Swansea.com Stadium,https://www.transfermarkt.co.uk/stadion/stadion/verein/2288/saison_id/2015,2288,2015
2578059,Etihad Stadium,https://www.transfermarkt.co.uk/stadion/stadion/verein/281/saison_id/2015,281,2015
2578071,Swansea.com Stadium,https://www.transfermarkt.co.uk/stadion/stadion/verein/2288/saison_id/2015,2288,2015
2578088,Swansea.com Stadium,https://www.transfermarkt.co.uk/stadion/stadion/verein/2288/saison_id/2015,2288,2015
2578221,Selhurst Park,https://www.transfermarkt.co.uk/stadion/stadion/verein/873/saison_id/2015,873,2015
2578233,Old Trafford,https://www.transfermarkt.co.uk/stadion/stadion/verein/985/saison_id/2015,985,2015
2578085,Swansea.com Stadium,https://www.transfermarkt.co.uk/stadion/stadion/verein/2288/saison_id/2015,2288,2015
2578105,Swansea.com Stadium,https://www.transfermarkt.co.uk/stadion/stadion/verein/2288/saison_id/2015,2288,2015
2578108,Goodison Park,https://www.transfermarkt.co.uk/stadion/stadion/verein/29/saison_id/2015,29,2015
